"customer_id","product_count"
2928,6
2929,6
2930,6
2931,6
2936,6
2937,6
2939,6
2942,6
2945,6
2948,6
2952,6
2958,6
2961,6
2963,6
2964,6
2968,6
2975,6
2980,6
2986,6
2995,6
3005,6
3006,6
3007,6
3009,6
3010,6
3011,6
3025,6
3032,6
3033,6
3037,6
3050,6
3056,6
3066,6
3068,6
3074,6
3075,6
3076,6
3081,6
3083,6
3091,6
3099,6
3102,6
3104,6
3107,6
3112,6
3117,6
3120,6
3129,6
3130,6
3136,6
3138,6
3139,6
3152,6
3153,6
3158,6
3170,6
3174,6
3179,6
3182,6
3194,6
3197,6
3202,6
3220,6
3225,6
3231,6
3233,6
3254,6
3262,6
3265,6
3266,6
3267,6
3270,6
3276,6
3277,6
3281,6
3283,6
3286,6
3298,6
3308,6
3310,6
3312,6
3321,6
3332,6
3334,6
3336,6
3340,6
3363,6
3376,6
3381,6
3386,6
3388,6
3389,6
3403,6
3406,6
3409,6
3412,6
3421,6
3422,6
3426,6
3427,6
3428,6
3433,6
3434,6
3436,6
3439,6
3445,6
3463,6
3469,6
3478,6
3479,6
3483,6
3491,6
3498,6
3503,6
3507,6
3515,6
3517,6
3518,6
3520,6
3523,6
3524,6
3525,6
3526,6
3535,6
3536,6
3537,6
3547,6
3551,6
3559,6
3560,6
3565,6
3570,6
3571,6
3578,6
3584,6
3594,6
3595,6
3598,6
3599,6
3602,6
3619,6
3623,6
3628,6
3629,6
3635,6
3641,6
3643,6
3645,6
3657,6
3661,6
3665,6
3667,6
3673,6
3678,6
3690,6
3696,6
3697,6
3698,6
3706,6
3710,6
3711,6
3712,6
3717,6
3722,6
3725,6
3726,6
3732,6
3745,6
3749,6
3759,6
3762,6
3766,6
3767,6
3769,6
3783,6
3790,6
3798,6
3799,6
3807,6
3828,6
3829,6
3830,6
3834,6
3839,6
3846,6
3850,6
3852,6
3855,6
3856,6
3859,6
3865,6
3867,6
3870,6
3878,6
3885,6
3887,6
3896,6
3900,6
3910,6
3916,6
3919,6
3921,6
3924,6
3933,6
3934,6
3945,6
3955,6
3967,6
3968,6
3969,6
3972,6
3979,6
4001,6
4002,6
4012,6
4023,6
4037,6
4042,6
4047,6
4050,6
4055,6
4058,6
4065,6
4066,6
4070,6
4073,6
4084,6
4086,6
4088,6
4093,6
4094,6
4095,6
4096,6
4098,6
4099,6
4102,6
4107,6
4114,6
4119,6
4120,6
4122,6
4127,6
4128,6
4136,6
4137,6
4138,6
4141,6
4148,6
4149,6
4168,6
4174,6
4179,6
4184,6
4186,6
4188,6
4198,6
4200,6
4201,6
4207,6
4211,6
4216,6
4220,6
4227,6
4240,6
4246,6
4248,6
4252,6
4259,6
4261,6
4268,6
4271,6
4278,6
4279,6
4286,6
4290,6
4297,6
4298,6
4299,6
4301,6
4303,6
4310,6
4320,6
4322,6
4324,6
4328,6
4329,6
4331,6
4333,6
4338,6
4339,6
4345,6
4351,6
4356,6
4368,6
4369,6
4370,6
4376,6
4377,6
4381,6
4385,6
4390,6
4391,6
4394,6
4399,6
4405,6
4406,6
4415,6
4418,6
4426,6
4427,6
4432,6
4436,6
4437,6
4440,6
4442,6
4444,6
4452,6
4459,6
4470,6
4472,6
4475,6
4477,6
4478,6
4480,6
4483,6
4487,6
4491,6
4500,6
4501,6
4507,6
4508,6
4518,6
4530,6
4541,6
4543,6
4547,6
4548,6
4550,6
4552,6
4554,6
4557,6
4580,6
4587,6
4597,6
4599,6
4603,6
4607,6
4608,6
4609,6
4611,6
4619,6
4637,6
4640,6
4643,6
4646,6
4653,6
4654,6
4656,6
4669,6
4673,6
4676,6
4679,6
4682,6
4686,6
4687,6
4690,6
4692,6
4697,6
4698,6
4702,6
4706,6
4712,6
4713,6
4725,6
4741,6
4743,6
4749,6
4754,6
4756,6
4764,6
4767,6
4769,6
4785,6
4786,6
4789,6
4790,6
4791,6
4796,6
4808,6
4817,6
4827,6
4828,6
4832,6
4837,6
4838,6
4843,6
4855,6
4856,6
4860,6
4864,6
4865,6
4867,6
4877,6
4887,6
4910,6
4915,6
4927,6
4931,6
4937,6
4939,6
4943,6
4944,6
4945,6
4947,6
4954,6
4961,6
4964,6
4967,6
4971,6
4973,6
4974,6
4988,6
4990,6
4992,6
4994,6
4998,6
5010,6
5011,6
5012,6
5015,6
5025,6
5029,6
5031,6
5036,6
5043,6
5046,6
5048,6
5049,6
5057,6
5062,6
5063,6
5067,6
5068,6
5074,6
5077,6
5079,6
5080,6
5081,6
5084,6
5092,6
5093,6
5107,6
5113,6
5114,6
5117,6
5120,6
5121,6
5123,6
5125,6
5136,6
5138,6
5140,6
5147,6
5150,6
5153,6
5154,6
5156,6
5172,6
5176,6
5177,6
5180,6
5181,6
5184,6
5185,6
5186,6
5204,6
5207,6
5209,6
5221,6
5223,6
5229,6
5231,6
5232,6
5234,6
5236,6
5237,6
5247,6
5250,6
5252,6
5253,6
5255,6
5263,6
5267,6
5268,6
5272,6
5278,6
5283,6
5286,6
5287,6
5289,6
5290,6
5294,6
5299,6
5300,6
5302,6
5303,6
5304,6
5313,6
5314,6
5316,6
5320,6
5324,6
5329,6
5331,6
5332,6
5336,6
5341,6
5342,6
5346,6
5350,6
5370,6
5371,6
5376,6
5386,6
5389,6
5393,6
